"filename", "language", "HTML", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\emails\use-send-reset-session-spaces-error-email.js", "JavaScript", 0, 0, 55, 0, 0, 0, 10, 65
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\swals\use-add-session-booking-info-error-swal.js", "JavaScript", 0, 0, 26, 0, 0, 1, 7, 34
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\swals\use-get-book-session-result-swal.js", "JavaScript", 0, 0, 56, 0, 0, 0, 8, 64
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\swals\use-session-already-booked-swal.js", "JavaScript", 0, 0, 27, 0, 0, 0, 9, 36
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\swals\use-session-spaces-error-swals.js", "JavaScript", 0, 0, 66, 0, 0, 0, 13, 79
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\swals\use-success-swal.js", "JavaScript", 0, 0, 26, 0, 0, 0, 8, 34
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\swals\use-update-balance-error-reset-session-doc-swal.js", "JavaScript", 0, 0, 71, 0, 0, 5, 11, 87
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\swals\use-update-session-doc-error-swal.js", "JavaScript", 0, 0, 47, 0, 0, 0, 9, 56
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-check-for-previous-booking-and-confirm-session.js", "JavaScript", 0, 0, 43, 0, 0, 0, 10, 53
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-child-session-already-booked.js", "JavaScript", 0, 0, 64, 0, 0, 3, 16, 83
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-choose-date-handle-change.js", "JavaScript", 0, 0, 10, 0, 0, 0, 6, 16
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-conditional-logic.js", "JavaScript", 0, 0, 226, 0, 0, 4, 36, 266
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-confirm-result.js", "JavaScript", 0, 0, 67, 0, 0, 0, 9, 76
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-confirm-session.js", "JavaScript", 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-get-booking-data-and-session-type-to-lowercase.js", "JavaScript", 0, 0, 43, 0, 0, 0, 12, 55
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-get-date-data-early-finish-dates-and-booking-closing-times.js", "JavaScript", 0, 0, 85, 0, 0, 0, 8, 93
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-return-logic.js", "JavaScript", 0, 0, 42, 0, 0, 0, 10, 52
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-session-spaces-listener.js", "JavaScript", 0, 0, 34, 0, 0, 0, 11, 45
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\use-set-date-and-time.js", "JavaScript", 0, 0, 13, 0, 0, 0, 6, 19
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session.component.jsx", "JavaScript", 0, 0, 45, 0, 0, 0, 9, 54
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\balance-check-and-book-session-help.component.jsx", "JavaScript", 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\buttons\afternoon-session-long-button.component.jsx", "JavaScript", 0, 0, 36, 0, 0, 2, 10, 48
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\buttons\afternoon-session-short-button.component.jsx", "JavaScript", 0, 0, 36, 0, 0, 0, 10, 46
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\buttons\morning-and-afternoon-session-long-button.component.jsx", "JavaScript", 0, 0, 34, 0, 0, 0, 8, 42
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\buttons\morning-and-afternoon-session-short-button.component.jsx", "JavaScript", 0, 0, 34, 0, 0, 0, 9, 43
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\buttons\morning-session-button.component.jsx", "JavaScript", 0, 0, 34, 0, 0, 0, 9, 43
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\child-checkbox.component.jsx", "JavaScript", 0, 0, 47, 0, 0, 0, 10, 57
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\choose-date.component.jsx", "JavaScript", 0, 0, 32, 0, 0, 0, 6, 38
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\choose-sessions.component.jsx", "JavaScript", 0, 0, 70, 0, 0, 0, 9, 79
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\date-errors.component.jsx", "JavaScript", 0, 0, 57, 0, 0, 0, 5, 62
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\heading-times-and-prices-wallet-balance-options-info.component.jsx", "JavaScript", 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\loaders.component.jsx", "JavaScript", 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\options-available-info.component.jsx", "JavaScript", 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\session-help-accordion.component.jsx", "JavaScript", 0, 0, 100, 0, 0, 0, 10, 110
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\spaces-available-info.component.jsx", "JavaScript", 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\sections\times-and-prices-accordion.component.jsx", "JavaScript", 0, 0, 110, 0, 0, 1, 9, 120
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\cancel-booking.component.jsx", "JavaScript", 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\emails\use-send-balance-not-updated-error-email.js", "JavaScript", 0, 0, 51, 0, 0, 0, 12, 63
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\emails\use-send-cancellation-email.js", "JavaScript", 0, 0, 60, 0, 0, 1, 11, 72
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\emails\use-send-session-spaces-and-balance-error-email.js", "JavaScript", 0, 0, 65, 0, 0, 0, 13, 78
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\swals\use-cancel-booking-result-swal.js", "JavaScript", 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\swals\use-success-swal.js", "JavaScript", 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\swals\use-update-balance-error-swal.js", "JavaScript", 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\swals\use-update-bookings-result-error-swal.js", "JavaScript", 0, 0, 31, 0, 0, 0, 10, 41
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\swals\use-update-session-spaces-and-balance-error-swal.js", "JavaScript", 0, 0, 24, 0, 0, 1, 7, 32
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\use-confirm-cancel-booking.js", "JavaScript", 0, 0, 86, 0, 0, 0, 11, 97
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\use-get-refund-price.js", "JavaScript", 0, 0, 58, 0, 0, 1, 12, 71
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\use-get-session-prices.js", "JavaScript", 0, 0, 30, 0, 0, 0, 6, 36
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\hooks\use-return-logic.js", "JavaScript", 0, 0, 37, 0, 0, 0, 9, 46
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\loader-title-buttons.component.jsx", "JavaScript", 0, 0, 47, 0, 0, 0, 13, 60
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\cancel-booking\wallet-update-info.component.jsx", "JavaScript", 0, 0, 59, 0, 0, 0, 19, 78
