"filename", "language", "XML", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-hooks/use-add-child-info-result-swal.js", "JavaScript", 0, 55, 0, 0, 0, 0, 10, 65
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-hooks/use-confirm-add-child-info.js", "JavaScript", 0, 37, 0, 0, 0, 0, 11, 48
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-hooks/use-handle-add-child-info-change.js", "JavaScript", 0, 13, 0, 0, 0, 0, 6, 19
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info.component.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 10, 32
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-button.component.jsx", "JavaScript", 0, 18, 0, 0, 0, 0, 5, 23
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-clear-card-input-on-zero-wallet-funds.js", "JavaScript", 0, 31, 0, 0, 0, 0, 7, 38
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-get-payment-result.js", "JavaScript", 0, 86, 0, 0, 0, 0, 15, 101
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-handle-card-input-change.js", "JavaScript", 0, 35, 0, 0, 0, 0, 6, 41
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-handle-wallet-funds-change.js", "JavaScript", 0, 19, 0, 0, 0, 0, 8, 27
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-should-show-add-funds-button.component.js", "JavaScript", 0, 19, 0, 0, 0, 0, 7, 26
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds.component.jsx", "JavaScript", 0, 25, 0, 0, 0, 0, 8, 33
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/card-input-styles/card-input-styles.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/card-input.component.jsx", "JavaScript", 0, 35, 0, 0, 0, 0, 10, 45
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/choose-wallet-funds-to-add.component.jsx", "JavaScript", 0, 27, 0, 0, 0, 0, 9, 36
